date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:19	148141/148141	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2013:54:48%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/New-office_photo_by_Alexandre_van_battel_for_Nightingale-10b-1500x605.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/New-office_photo_by_Alexandre_van_battel_for_Nightingale-10b-1500x605.jpg	(from https://www.nightingale.world/about/)
09:59:19	114213/114213	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2013:54:44%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/Nightingale-office-Amsterdam-1-1500x605.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/Nightingale-office-Amsterdam-1-1500x605.jpg	(from https://www.nightingale.world/about/)
09:59:19	83039/83039	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2013:59:09%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/New-office_photo_by_Alexandre_van_battel_for_Nightingale-8-scaled-1500x605.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/New-office_photo_by_Alexandre_van_battel_for_Nightingale-8-scaled-1500x605.jpg	(from https://www.nightingale.world/about/)
09:59:19	183155/183155	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2013:54:43%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/Nightingale-office-Amsterdam-2-1500x605.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/Nightingale-office-Amsterdam-2-1500x605.jpg	(from https://www.nightingale.world/about/)
09:59:19	120819/120819	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2013:59:04%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/New-office_photo_by_Alexandre_van_battel_for_Nightingale-4-scaled-1500x605.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/New-office_photo_by_Alexandre_van_battel_for_Nightingale-4-scaled-1500x605.jpg	(from https://www.nightingale.world/about/)
09:59:20	134400/134400	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2013:54:43%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/Nightingale-office-Amsterdam-3c-1500x605.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/Nightingale-office-Amsterdam-3c-1500x605.jpg	(from https://www.nightingale.world/about/)
09:59:20	137664/137664	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2013:54:41%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/Nighitngale-Workspace-Technogym-2-1500x605.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/Nighitngale-Workspace-Technogym-2-1500x605.jpg	(from https://www.nightingale.world/about/)
09:59:20	173386/173386	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2013:54:47%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/New-office_photo_by_Alexandre_van_battel_for_Nightingale-3b-1500x605.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/New-office_photo_by_Alexandre_van_battel_for_Nightingale-3b-1500x605.jpg	(from https://www.nightingale.world/about/)
09:59:21	69834/69834	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2012:13:28%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/NG_KAAI-1602-scaled-680x920.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/NG_KAAI-1602-scaled-680x920.jpg	(from https://www.nightingale.world/projects/)
09:59:21	36541/36541	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202020%2015:58:01%20GMT	https://www.nightingale.world/projects/category/branding/	C:/My%20Web%20Sites/webhost/www.nightingale.world/projects/category/branding/index.html	(from https://www.nightingale.world/projects/)
09:59:21	36284/36284	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202020%2015:58:15%20GMT	https://www.nightingale.world/projects/category/exposure/	C:/My%20Web%20Sites/webhost/www.nightingale.world/projects/category/exposure/index.html	(from https://www.nightingale.world/projects/)
09:59:22	69222/69222	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2011:53:35%20GMT	https://www.nightingale.world/wp-content/uploads/2019/12/Rectoverso-C08-2702-scaled-680x920.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2019/12/Rectoverso-C08-2702-scaled-680x920.jpg	(from https://www.nightingale.world/projects/)
09:59:22	105497/105497	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Jan%202020%2009:06:25%20GMT	https://www.nightingale.world/wp-content/uploads/2020/01/NG_DRYKORN_Chinatown_MG_9735-scaled-680x920.jpg	C:/My%20Web%20Sites/webhost/www.nightingale.world/wp-content/uploads/2020/01/NG_DRYKORN_Chinatown_MG_9735-scaled-680x920.jpg	(from https://www.nightingale.world/projects/)
